type;brick;family;classe;segment;FamilyId;OperationCode;OperationId
étole;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;9872360;BORBONESE6;64578
robe portefeuille;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10183259;BERSHKA34;66102
sac trapèze;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9578712;JLSCHERRER51;62799
sac week-end;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9470901;AS984;62165
valise moyen séjour;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10342175;ALPINI1;67404
blouse;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10258149;ADAGATTI7;66955
body-string;"Sous–vêtements d’une Pièce ";Sous–vêtements;Vêtements;Vêtements;9707257;ROSY19;63756
bottes;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9247679;AGUARDIANI13;61034
cuissardes;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9387481;KARAKOOL1;61668
culotte;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10340356;ETAM57;67392
jean;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10183378;BERSHKA34;66102
robe de plage;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10333701;BMOON39;67351
sac banane;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10342306;MAVILUGGAGE9;67405
sandales compensées;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;5302236;CASTANER13;39399
soutien-gorge bandeau;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10626053;BERSHKA35;68401
top;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183576;BERSHKA34;66102
barboteuse;"Combinaisons/Bodies ";Vêtements d’une Pièce;Vêtements;Vêtements;10157760;DISNEY168;66294
boléro;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9667053;OKAIDI27;63570
bottes après-ski;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9069273;ANTISSHOES3;60553
boxer de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10333727;BMOON39;67351
caleçon;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10080021;FACONNABLE43;60705
caleçon technique;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484161;FREDDY9;67999
sous-pull;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10258019;ADAGATTI7;66955
t-shirt;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10484326;FREDDY9;67999
débardeur;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10340594;ETAM57;67392
jean;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10183989;BERSHKA34;66102
poncho;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183837;BERSHKA34;66102
sac de sport;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9720588;HACKETT25;63796
set valise cabine + vanity;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087385;JLSCHERRER31;46593
shorty de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10333678;BMOON39;67351
casquette;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10203269;FREEGUN15;66591
chaussons;Chaussures d'Intérieur – Entièrement Fermées;Chaussures d'Intérieur;Chaussures;Chaussures;10002400;ISOTONER37;65406
pull;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10182943;BERSHKA34;66102
sac à dos;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8715727;ALUXE15;58416
sac bourse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10136061;PMENDIGOTE10;66131
sac enveloppe;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9722086;HEDGREN2;63812
sac shopping;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9844030;ARUIZ88;64429
short de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10080468;FACONNABLE43;60705
valise grand volume;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9824449;TORRENTE72;64335
valise petit format;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9437979;ALUGGAGE4;61628
vanity case;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087388;JLSCHERRER31;46593
veste longue;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10644671;OAKWOOD43;68429
ballerines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10374450;ABRILFLOWERS1;67561
body-string;"Sous–vêtements d’une Pièce ";Sous–vêtements;Vêtements;Vêtements;9707258;ROSY19;63756
coupe-vent;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183944;BERSHKA34;66102
écharpe;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;9548792;CHARLISE3;62749
lunchbox;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9844323;ARUIZ88;64429
pantalon;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10410848;BIKKEMBERGS38;67701
pantoufles;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;9315608;INBLU4;61223
parka;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9990195;BONOBO10;65335
sabots;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10240192;ARCHE12;66841
stilettos;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9247722;AGUARDIANI13;61034
tanga;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10341028;ETAM57;67392
béret;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10104114;FACONNABLE44;65950
bottes de pluie;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9617965;BONLY16;63263
"bottines ";Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9465865;AFERMANI3;62238
chapeau;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;9989761;BONOBO10;65335
chaussons;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;9785717;BAGLLERINA3;64137
chaussures ouvertes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10767251;CUPLE12;68790
débardeur;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10157899;DISNEY168;66294
minaudière;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9978604;CUPLE11;65271
nu-pieds;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10159075;AIGNER17;66302
semelles;Footwear Inserts;Accessoires à Chaussures;Chaussures;Chaussures;9037818;LADYSSECRET1;60364
slip;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10157859;DISNEY168;66294
blazer;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183210;BERSHKA34;66102
écharpe;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10183835;BERSHKA34;66102
jarretière;"Jarretelles/Jarretières ";Sous–vêtements;Vêtements;Vêtements;10016095;MAISONLEJABY11;65441
pull sans manches;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10521005;BROOKSFIELD4;68201
sangle de bagage;Accessoires Pour Bagages/Sacs Personnels/Parapluies;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10257062;DELSEY22;66946
vanity;Trousses / Mallettes de Toilette;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9843996;ARUIZ88;64429
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10080811;FACONNABLE43;60705
bottines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8868930;ALEXANDER1;59367
coque pour téléphone;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10378898;ADIDAS67;67600
derbies montantes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9248166;ARCHE11;61038
pantalon;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10257997;ADAGATTI7;66955
paréo;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10278268;JROBIN7;67115
pull;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9548745;CHARLISE3;62749
valise cabine;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10342169;ALPINI1;67404
valise moyen séjour;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10342174;ALPINI1;67404
bottillons;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9983121;ASTER17;63751
chaussettes hautes;"Chaussettes ";Sous–vêtements;Vêtements;Vêtements;10433940;RENOMA18;66876
combinaison;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10258041;ADAGATTI7;66955
maillot de bain 1 pièce ajouré;Maillot de bain - 1 pièce;Balnéaire;Vêtements;Vêtements;10695280;SSUCRE14;68534
minaudière;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9954448;BLOLA13;65081
robe pull;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10183597;BERSHKA34;66102
solerettes;"Chaussettes ";Sous–vêtements;Vêtements;Vêtements;9476662;VANS29;61939
trolley;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7704578;FOTOPRIX3;53129
trousse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9844391;ARUIZ88;64429
trousse de maquillage;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9722064;HEDGREN2;63812
valise cabine;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10342178;ALPINI1;67404
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10080798;FACONNABLE43;60705
béret;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;9874564;NIXON18;64593
bermuda;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10258114;ADAGATTI7;66955
brassière;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10333709;BMOON39;67351
chemise de nuit;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10340316;ETAM57;67392
doudoune;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10521042;BROOKSFIELD4;68201
escarpins;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10374591;ABRILFLOWERS1;67561
veste doudoune sans manches;Vêtements de Sport - Vestes/blousons/sweats;Vêtements de Sport;Vêtements;Vêtements;10246810;LEGEA1;66871
pantacourt;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10340511;ETAM57;67392
short de running;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484188;FREDDY9;67999
slip de bain noué sur les côtés;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10333422;BMOON39;67351
slippers;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9247770;AGUARDIANI13;61034
sneakers;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945087;ADELLACQUA3;64988
soutien-gorge balconnet;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10092191;BBARDOT5;65871
"bottines ";Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9465862;AFERMANI3;62238
cardigan;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9447477;BORBONESE5;62103
nuisette;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10340465;ETAM57;67392
parapluie;Parapluies / Ombrelles;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10002701;ISOTONER37;65406
soutien-gorge;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10340687;ETAM57;67392
stilettos;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9247715;AGUARDIANI13;61034
trousse;Trousses / Mallettes de Toilette;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10357382;MPTRIBU1;67454
barboteuse;"Combinaisons/Bodies ";Vêtements d’une Pièce;Vêtements;Vêtements;10157757;DISNEY168;66294
brassière;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10626176;BERSHKA35;68401
chapeau d’été;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10257420;NANOS18;66950
chaussures de randonnée;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9308967;MERRELL15;61175
chaussures montantes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10378807;ADIDAS67;67600
cravate;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10473147;AZZARO45;64721
trousse;Trousses / Mallettes de Toilette;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9929792;ELPOTRO1;64936
jegging;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10183100;BERSHKA34;66102
minaudière;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9978587;CUPLE11;65271
sac bourse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;6516375;JLSCHERRER31;46593
set valise cabine + vanity;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087377;JLSCHERRER31;46593
teddy;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10263547;CDSPORTS3;67015
trench;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10625570;BERSHKA35;68401
bandeau;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;9720883;HACKETT25;63796
caleçon long;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;9906935;HAPPYSOCKS15;64798
ceinture;"Ceintures/Bretelles ";Accessoires Vestimentaires;Vêtements;Vêtements;10136949;AMORATO25;66140
chapeau d’été;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10156747;KEUROSWAN19;64598
cravate;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10473137;AZZARO45;64721
derbies;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945048;ADELLACQUA3;64988
slip;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10092196;BBARDOT5;65871
spartiates;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9850403;ALDO13;64464
sweat à capuche;Vêtements de Sport - Vestes/blousons/sweats;Vêtements de Sport;Vêtements;Vêtements;10246532;LEGEA1;66871
veste doudoune sans manches;Vêtements de Sport - Vestes/blousons/sweats;Vêtements de Sport;Vêtements;Vêtements;10246809;LEGEA1;66871
escarpins;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10374590;ABRILFLOWERS1;67561
escarpins;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9247721;AGUARDIANI13;61034
imperméable;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10246761;LEGEA1;66871
porte-étiquettes;Accessoires Pour Bagages/Sacs Personnels/Parapluies;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10411972;VICTORINOX5;67592
sac à roulettes;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087376;JLSCHERRER31;46593
sandales;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;10158570;ALUXE18;66300
body-string;"Sous–vêtements d’une Pièce ";Sous–vêtements;Vêtements;Vêtements;10330907;SSUCRE13;67334
boots;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10158502;ALUXE18;66300
chapeau;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10183841;BERSHKA34;66102
chaussons;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8792009;ALUXE15;58416
étole;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;9872361;BORBONESE6;64578
gants;"Gants/Moufles ";Accessoires Vestimentaires;Vêtements;Vêtements;8715729;ALUXE15;58416
soutien-gorge;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10262567;SLOGGI28;67005
tunique;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183548;BERSHKA34;66102
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9447577;BORBONESE5;62103
veste sans manches;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10206113;SPE_UCULTURE1;65424
mocassins;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945043;ADELLACQUA3;64988
nu-pieds;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9850503;ALDO13;64464
pochette;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9668083;ACARDONE4;63573
salomés;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10756603;ANDREACONTI4;68707
sandales compensées;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;5302344;CASTANER13;39399
short de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10080471;FACONNABLE43;60705
baskets;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10023208;CAMPER34;65498
cartable;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10753802;CPAZOLINI1;68687
chaussettes d'intérieur;"Chaussettes ";Sous–vêtements;Vêtements;Vêtements;10002336;ISOTONER37;65406
chemise de nuit;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10340324;ETAM57;67392
débardeur;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;9548460;CHARLISE3;62749
housse pour ordinateur;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10255678;LIPAULT6;66932
housse pour tablette;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10803131;PIQUADRO31;69045
short de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10080457;FACONNABLE43;60705
soutien-gorge emboîtant;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10262671;SLOGGI28;67005
veste courte;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10063364;HELIUM1;65725
veste matelassée;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10484010;FREDDY9;67999
